COURSE,DESTINATION,DWT,ELAPSED,FLAG,GT_SHIPTYPE,HEADING,LAT,LENGTH,LON,L_FORE,ROT,SHIPNAME,SHIPTYPE,SHIP_ID,SPEED,STATUS_NAME,TYPE_IMG,TYPE_NAME,WIDTH,W_LEFT
344,FUJAIRAH,307284,355,LR,17,,24.675678,332,57.741512,279,,PLATA CARRIER,8,118791,11,,,,58,51
220,DUBAI,307284,31,MH,17,239,25.396374,334,55.022514,276,0,MONACO LOYALTY,8,714757,0,,,,58,38
7,SOHAR OM,306324,35,AW,17,7,24.599916,334,56.803368,166,,KSECOND,8,8785427,0,,,,58,29
56,QA SHA,305206,131,PA,17,116,23.682714,333,63.70956,282,0,OMEGA TRADER,8,198486,39,,,,60,28
306,SG SIN>AE ZUR,302093,33,BS,17,,21.881767,330,61.808811,285,,HELIOS,8,7359417,96,,,,60,35
311,AE ZUR,302068,30,SG,17,312,24.491817,333,57.255615,283,0,AZUMASAN,8,726892,118,,,,60,25
222,HALUL -QATAR,301861,29,LR,17,221,26.421804,333,56.111462,282,0,FPMC C KNIGHT,8,755068,133,,,,60,33
63,TWMLI,301781,28,SG,17,65,26.025387,330,54.783733,286,0,PERTAMINA PRIME,8,6571896,126,,,,60,35
,AEDXB,300759,29,SA,17,307,25.249149,336,55.266476,281,0,SIDR,8,6070800,0,,,,60,34
244,FOR ORDER,300149,37,CM,17,178,25.858732,332,56.917648,280,,LILLIAN,8,704461,0,,,,60,30
329,SA RTA>SA RAR,300000,29,MH,17,328,28.208687,332,50.4608,277,0,FRONT BEAVER,8,7765292,130,,,,60,23
344,CNDAG>IQKAZ,300000,28,LR,17,343,26.458355,329,52.726353,274,0,UNIVERSAL FRONTIER,8,5851251,101,,,,60,27
132,KR ONS,300000,31,MY,17,,21.02795,336,65.943115,280,,EAGLE VELLORE,8,7881648,110,,,,60,30
134,CNNBO,299999,33,PA,17,,21.48933,330,61.823631,278,,SAIQ,8,417211,103,,,,60,38
310,SARTA,299999,845,LR,17,,20.719133,333,64.899597,279,,GEORGIOS,8,754046,123,,,,60,29
307,,,112,,,,22.618549,,62.799667,,,[SAT-AIS],8,TWpJMU5EYzJNakkxTkRjMk1qSTFOQT09LVE2V3JXSEhmVFExZEU5ZXRCMkRjVmc9PQ==,148,Underway using Engine,8,Tanker,,
275,SARAR,299998,83,GR,17,280,27.160593,329,51.689785,274,0,AMANTEA,8,6502584,141,,,,60,28
159,MADE ILD>AEFJR,299998,28,MH,17,160,22.761309,336,60.212666,281,0,ADVANTAGE VERITY,8,4348420,106,,,,60,28
,AEJED,299996,29,LR,17,338,24.19924,332,52.69138,0,0,BOSTON,8,755524,1,,,,60,0
123,SGPEBG,299682,30,MH,17,,24.882145,332,57.637238,274,,V. ADVANCE,8,5887125,130,,,,60,33
288,KRYOS-IQMAB,299682,29,MH,17,290,27.254507,330,51.238659,274,0,V. HARMONY,8,5974672,128,,,,60,33
146,AEKLF>QAUMS,297538,29,BS,17,342,25.341988,330,51.824654,278,0,KOKKARI,8,372194,1,,,,60,23
283,FOR ORDER,297412,34,LR,17,,23.798622,330,58.933681,280,,FPMC C ORIENT,8,755513,133,,,,60,24
116,SGP,210000,253,LR,6,,22.241755,299,62.494267,258,,LONG MAY,7,6096528,121,,,,50,47
142,AEAUH,204332,28,LR,11,142,24.884403,366,54.625515,113,0,MSC ORSOLA,7,8187738,123,,,,51,31
81,MUNDRA,202060,28,LR,11,79,23.822184,366,64.881783,113,9,MSC MARIACRISTINA,7,8880594,190,,,,51,16
114,BAHRAIN,182002,28,PT,6,0,26.874226,291,51.224541,254,0,GINA OLDENDORFF,7,7580267,8,,,,45,27
136,QAUMS>OMSOH,180330,30,LR,6,31,24.951811,295,51.591888,243,0,CAPE CYNTHIA,7,731804,0,,,,46,29
332,AE MSA,180310,28,LR,6,16,25.978386,288,56.044968,250,0,DEYI EXCELLENCE,7,117612,6,,,,45,28
1,IN KRI > IN BED,180246,60,HK,6,,22.150549,295,68.796043,255,,GREAT TANG,7,687303,88,,,,46,17
182,BRTBR,180242,34,PA,6,,20.771133,289,61.053131,250,,NAVIOS PHOENIX,7,461126,95,,,,45,28
294,QAUMS,179655,31,LR,6,348,25.908726,291,52.330147,250,0,TRUE CRUSADER,7,4461682,0,,,,45,17
42,SG PUB > QA UMS,163216,140,MH,17,96,24.206333,274,61.198215,231,,ARCHANGEL,8,212653,12,,,,50,28
253,INSIK>AEFJR,162187,952,LR,71,,22.0994,276,68.746735,230,,TATAKI,8,754584,79,,,,50,17
140,AQABA,159453,70,LR,17,142,23.519978,274,59.447693,226,0,NEW PRIDE,8,369331,103,,,,48,17
